# Nintendo - Nintendo 64 - 20130203-100700
#=======================================================================================================================
#  Id       #  Title
#-----------------------------------------------------------------------------------------------------------------------
65517307	Hercules - The Legendary Journeys (Europe) (En,Fr,De,Es,It,Nl)
cf90bc4a	Hercules - The Legendary Journeys (USA)
ed939f94	Hexen (Europe)
4b3dc7fe	Hexen (France)
176c6242	Hexen (Germany)
3d157140	Hexen (Japan)
d2b22343	Hexen (USA)
0149e9f6	Hey You, Pikachu! (USA)
4a07511c	Hiryuu no Ken Twin (Japan)
2f886030	Holy Magic Century (Europe)
cefc98aa	Holy Magic Century (France)
40796997	Holy Magic Century (Germany)
fcacbe90	Hoshi no Kirby 64 (Japan)
e2fab230	Hoshi no Kirby 64 (Japan) (Rev A)
32d2d11e	Hoshi no Kirby 64 (Japan) (Rev B)
3dec34a5	Hoshi no Kirby 64 (Japan) (Rev C)
ef63c780	Hot Wheels - Turbo Racing (Europe) (En,Fr,De)
525e8f8f	Hot Wheels - Turbo Racing (USA)
a3fc9aea	Human Grand Prix - The New Generation (Japan)
8696b2a2	Hybrid Heaven (Europe) (En,Fr,De)
42e44701	Hybrid Heaven (Japan)
7ce3ea39	Hybrid Heaven (USA)
b75696ae	Hydro Thunder (Europe)
c8cd9b5d	Hydro Thunder (France)
6b78c2c8	Hydro Thunder (USA)
f7c2bb67	Hyper Olympics in Nagano 64 (Japan)
32003c85	Ide Yosuke no Mahjong Juku (Japan)
76530405	Iggy's Reckin' Balls (Europe)
5953567e	Iggy's Reckin' Balls (USA)
e133064b	Iggy-kun no Bura Bura Poyon (Japan)
930e6f44	In-Fisherman - Bass Hunter 64 (Europe)
88279f19	In-Fisherman - Bass Hunter 64 (USA)
a8f86eb6	Indiana Jones and the Infernal Machine (USA)
1c622354	Indy Racing 2000 (USA)
463fe8b7	International Superstar Soccer '98 (Europe)
d685f2ec	International Superstar Soccer '98 (USA)
61799242	International Superstar Soccer 2000 (Europe) (En,De)
7d7dcd46	International Superstar Soccer 2000 (Europe) (Fr,It)
bb1824b8	International Superstar Soccer 2000 (USA) (En,Es)
662da098	International Superstar Soccer 64 (Europe)
91cb6803	International Superstar Soccer 64 (USA)
73073ec2	International Track & Field - Summer Games (Europe) (En,Fr,De)
f93868a3	International Track & Field 2000 (USA)
5e9c3e4b	Itoi Shigesato no Bass Tsuri No. 1 Kettei Ban! (Japan)
67ec5f38	J.League Dynamite Soccer 64 (Japan)
b2d77747	J.League Eleven Beat 1997 (Japan)
8a48de94	J.League Live 64 (Japan)
0b6c70ea	J.League Tactics Soccer (Japan)
71fa1d4d	J.League Tactics Soccer (Japan) (Rev A)
27e9853c	Jangou Simulation Mahjong Dou 64 (Japan)
82b2ab69	Jeopardy! (USA)
efe0b465	Jeremy McGrath Supercross 2000 (Europe)
67bf293b	Jeremy McGrath Supercross 2000 (USA)
fec297ef	Jet Force Gemini (Europe) (En,Fr,De,Es)
b5932174	Jet Force Gemini (USA)
6e75735b	Jet Force Gemini (USA) (Demo) (Kiosk)
97669431	Jikkyou G1 Stable (Japan)
142072bf	Jikkyou G1 Stable (Japan) (Rev A)
8e2f8322	Jikkyou J.League 1999 - Perfect Striker 2 (Japan)
b4131606	Jikkyou J.League 1999 - Perfect Striker 2 (Japan) (Rev A)
97e1bce2	Jikkyou J.League Perfect Striker (Japan)
45e04c78	Jikkyou Powerful Pro Yakyuu 2000 (Japan)
4e6faa43	Jikkyou Powerful Pro Yakyuu 2000 (Japan) (Rev A)
8d2540f1	Jikkyou Powerful Pro Yakyuu 4 (Japan)
435126ae	Jikkyou Powerful Pro Yakyuu 4 (Japan) (Rev A)
94fa55ff	Jikkyou Powerful Pro Yakyuu 5 (Japan)
a25d1427	Jikkyou Powerful Pro Yakyuu 5 (Japan) (Rev A)
5b39c8b2	Jikkyou Powerful Pro Yakyuu 5 (Japan) (Rev B)
a54e4397	Jikkyou Powerful Pro Yakyuu 6 (Japan)
5b6351f1	Jikkyou Powerful Pro Yakyuu 6 (Japan) (Rev A)
e8d4a365	Jikkyou Powerful Pro Yakyuu 6 (Japan) (Rev B)
4e102917	Jikkyou Powerful Pro Yakyuu Basic Ban 2001 (Japan)
68d57df2	Jikkyou Powerful Pro Yakyuu Basic Ban 2001 (Japan) (Rev A)
970a3c24	Jikkyou World Soccer - World Cup France '98 (Japan)
7576897d	Jikkyou World Soccer - World Cup France '98 (Japan) (Rev A)
55551947	Jikkyou World Soccer - World Cup France '98 (Japan) (Rev B)
8755de1f	Jikkyou World Soccer 3 (Japan)
c3230021	Jikuu Senshi Turok (Japan)
888b4265	Jinsei Game 64 (Japan)
48f3e888	John Romero's Daikatana (Europe) (En,Fr,De)
befb1434	John Romero's Daikatana (Japan)
cb126ea9	John Romero's Daikatana (USA)
1e967ac0	Kakutou Denshou - F-Cup Maniax (Japan)
42d1ed42	Ken Griffey Jr.'s Slugfest (USA)
19421ca7	Killer Instinct Gold (Europe)
b279e4b2	Killer Instinct Gold (USA)
24ac459c	Killer Instinct Gold (USA) (Rev A)
8e1db3c2	Killer Instinct Gold (USA) (Rev B)
bc5f8666	King Hill 64 - Extreme Snowboarding (Japan)
9fc8a30c	Kiratto Kaiketsu! 64 Tanteidan (Japan)
f1eb0f93	Kirby 64 - The Crystal Shards (Europe)
8eb3565b	Kirby 64 - The Crystal Shards (USA)
35b61293	Knife Edge - Nose Gunner (Europe)
2ff68ed9	Knife Edge - Nose Gunner (Japan)
cf204405	Knife Edge - Nose Gunner (USA)
3c38ba4a	Knockout Kings 2000 (Europe)
a26533fc	Knockout Kings 2000 (USA)
5adef1c7	Kobe Bryant in NBA Courtside (Europe)
0ff8c439	Kobe Bryant's NBA Courtside (USA)
3d4679e5	LEGO Racers (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)
3339e557	LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)
c3daf1aa	Last Legion UX (Japan)
9267f4ba	Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es)
ea2e7abb	Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es) (Beta)
1d4d50b7	Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es) (Rev A)
3ee3f2d1	Legend of Zelda, The - Majora's Mask (USA)
f97c02ce	Legend of Zelda, The - Majora's Mask (USA) (Demo)
9852a62f	Legend of Zelda, The - Ocarina of Time (Europe) (En,Fr,De)
ab0ffbae	Legend of Zelda, The - Ocarina of Time (Europe) (En,Fr,De) (Rev A)
ec95702d	Legend of Zelda, The - Ocarina of Time (USA)
aa07c8ba	Legend of Zelda, The - Ocarina of Time (USA) (Rev A)
3c7dbf5b	Legend of Zelda, The - Ocarina of Time (USA) (Rev B)
2ee3e247	Legend of Zelda, The - Ocarina of Time - Master Quest (USA) (Debug Edition)
33543946	Let's Smash (Japan)
78707cea	Lode Runner 3-D (Europe) (En,Fr,De,Es,It)
8a1ae6a7	Lode Runner 3-D (Japan)
5af38589	Lode Runner 3-D (USA)
ed1249a5	Lylat Wars (Australia) (En,Fr,De)
94a1a16a	Lylat Wars (Europe) (En,Fr,De)
9c7d29ec	MRC - Multi Racing Championship (Europe) (En,Fr,De)
4ca898e3	MRC - Multi Racing Championship (Japan)
2f30b7fe	MRC - Multi Racing Championship (USA)
4bdf2d6c	Mace - The Dark Age (Europe)
e49d603a	Mace - The Dark Age (USA)
c39f863d	Madden Football 64 (Europe)
43b28179	Madden Football 64 (USA)
f41b2332	Madden NFL 2000 (USA)
3b49ec33	Madden NFL 2001 (USA)
0c711dfe	Madden NFL 2002 (USA)
5dcad836	Madden NFL 99 (Europe)
ac21a5bf	Madden NFL 99 (USA)
bf53bf3d	Magical Tetris Challenge (Europe)
16995cf8	Magical Tetris Challenge (Germany)
167c60e6	Magical Tetris Challenge (USA)
6d3eba8b	Magical Tetris Challenge featuring Mickey (Japan)
0fb9138c	Mahjong 64 (Japan)
fd9ea0d5	Mahjong Hourouki Classic (Japan)
db0b662a	Mahjong Master (Japan)
10cc55ba	Major League Baseball featuring Ken Griffey Jr. (Australia)
7542d45d	Major League Baseball featuring Ken Griffey Jr. (USA)
1ca3e8b6	Mario Golf (Europe)
ceb5b977	Mario Golf (USA)
889091fd	Mario Golf 64 (Japan)
b2672604	Mario Golf 64 (Japan) (Rev A)
6787e212	Mario Kart 64 (Europe)
032625b0	Mario Kart 64 (Europe) (Rev A)
4711a9dc	Mario Kart 64 (Japan)
26450aab	Mario Kart 64 (Japan) (Rev A)
2bcee11c	Mario Kart 64 (USA)
6973373f	Mario Party (Europe) (En,Fr,De)
7d387e37	Mario Party (Japan)
4717cd1b	Mario Party (USA)
8c0c8bec	Mario Party 2 (Europe) (En,Fr,De,Es,It)
e19bf21c	Mario Party 2 (Japan)
3ba5471b	Mario Party 2 (USA)
a5d78a36	Mario Party 3 (Europe) (En,Fr,De,Es)
703586d1	Mario Party 3 (Japan)
a1bee3f8	Mario Party 3 (USA)
1fb7e59a	Mario Story (Japan)
0f03ca6e	Mario Tennis (Europe)
995c9f24	Mario Tennis (USA)
17c5515b	Mario Tennis 64 (Japan)
49e24ae2	Mario no Photopie (Japan)
b57dd0e4	Mega Man 64 (USA)
3aa4bff5	Mia Hamm Soccer 64 (USA) (En,Es)
faffef70	Michael Owen's World League Soccer 2000 (Europe)
915a43ee	Mickey no Racing Challenge USA (Japan)
ddf28f6b	Mickey's Speedway USA (Europe) (En,Fr,De,Es,It)
6e589c47	Mickey's Speedway USA (USA)
14030ff5	Micro Machines 64 Turbo (Europe) (En,Fr,De,Es,It)
02790693	Micro Machines 64 Turbo (USA)
202a2718	Midway's Greatest Arcade Hits - Volume 1 (USA)
9042cb8e	Mike Piazza's StrikeZone (USA)
165d7bc2	Milo's Astro Lanes (Europe)
dff1ba7e	Milo's Astro Lanes (USA)
cf4c80b0	Mini Racers (USA) (Proto)
12529953	Mischief Makers (Europe)
af7b3820	Mischief Makers (USA)
c454e245	Mischief Makers (USA) (Rev A)
c41a1ebe	Mission Impossible (Europe)
67895343	Mission Impossible (France)
20067768	Mission Impossible (Germany)
ac5c1408	Mission Impossible (Italy)
e33b52f0	Mission Impossible (Spain)
2dbd815d	Mission Impossible (USA)
30079403	Monaco Grand Prix (USA)
0a54fdf0	Monaco Grand Prix - Racing Simulation 2 (Europe) (En,Fr,Es,It)
416b1f8f	Monopoly (USA)
ce6779fb	Monster Truck Madness 64 (Europe) (En,Fr,De,Es,It)
b8d03ffb	Monster Truck Madness 64 (USA)
377b7580	Morita Shougi 64 (Japan)
70b72a07	Mortal Kombat 4 (Europe)
aa865b66	Mortal Kombat 4 (USA)
1063da05	Mortal Kombat Mythologies - Sub-Zero (Europe)
f0f7d9e3	Mortal Kombat Mythologies - Sub-Zero (USA)
6a805380	Mortal Kombat Trilogy (Europe)
58e57c08	Mortal Kombat Trilogy (USA)
b1c6df97	Mortal Kombat Trilogy (USA) (Rev A)
e58597d7	Mortal Kombat Trilogy (USA) (Rev B)
d5017d76	Ms. Pac-Man - Maze Madness (USA)
6df2bda6	Mystical Ninja 2 Starring Goemon (Europe) (En,Fr,De)
7dfe2e7a	Mystical Ninja Starring Goemon (Europe)
81c10ad9	Mystical Ninja Starring Goemon (USA)
d07ad471	NASCAR 2000 (USA)
5351acb5	NASCAR 99 (Europe) (En,Fr,De)
2d234fb7	NASCAR 99 (USA)
7a8fd7d3	NBA Courtside 2 featuring Kobe Bryant (USA)
bf05fe53	NBA Hangtime (Europe)
72e2aca9	NBA Hangtime (USA)
84deb3bd	NBA Jam 2000 (Europe)
65a3bd1c	NBA Jam 2000 (USA)
8cce0ae4	NBA Jam 99 (Europe)
f40c871a	NBA Jam 99 (USA)
4c7282d6	NBA Live 2000 (Europe) (En,Fr,De,Es)
94fc12d3	NBA Live 2000 (USA) (En,Fr,De,Es)
086e322e	NBA Live 99 (Europe) (En,Fr,De,Es,It)
74bc96be	NBA Live 99 (USA) (En,Fr,De,Es,It)
7fabf1ea	NBA Pro 98 (Europe)
6ea32e08	NBA Pro 99 (Europe)
a9302dee	NBA Showtime - NBA on NBC (USA)
58b2150d	NBA in the Zone '98 (Japan)
2bb83c0e	NBA in the Zone '98 (USA)
c15afc69	NBA in the Zone '99 (USA)
f736d01a	NBA in the Zone 2 (Japan)
ad6cd2ae	NBA in the Zone 2000 (Europe)
d850cfa3	NBA in the Zone 2000 (USA)
5fa3455d	NFL Blitz (USA)
3dd3eb64	NFL Blitz - Special Edition (USA)
e4b42e6a	NFL Blitz 2000 (USA)
e18211e5	NFL Blitz 2001 (USA)
2c0d748b	NFL QB Club 2001 (USA)
11225980	NFL Quarterback Club 2000 (Europe)
