# Sega - Master System - Mark III - 20140508-000156
#=======================================================================================================================
#  Id       #  Title
#-----------------------------------------------------------------------------------------------------------------------
f0f35c22	20 em 1 (Brazil)
4b051022	Shooting Gallery (USA, Europe)
d1cc08ee	Simpsons, The - Bart vs. the Space Mutants (Europe)
f6b2370a	Simpsons, The - Bart vs. the World (Europe)
abdf3923	Sitio do Picapau Amarelo (Brazil)
5b8e65e4	Sky Jaguar (Korea)
c93bd0e9	Slap Shot (Europe)
d33b296a	Slap Shot (Europe) (Rev 1)
702c3e98	Slap Shot (USA)
fbb0a92a	Slap Shot (Unknown) (Beta)
3e63768a	Smurfs, The (Europe) (En,Fr,De,Es)
11645549	Solomon no Kagi - Oujo Rihita no Namida (Japan)
96b3f29e	Sonic Blast (Brazil)
aedf3bdf	Sonic Chaos (Europe)
b519e833	Sonic The Hedgehog (USA, Europe)
5b3b922c	Sonic The Hedgehog 2 (Europe)
d6f2bfca	Sonic The Hedgehog 2 (Europe) (Rev 1)
11c1bc8a	Sonic The Hedgehog Spinball (Europe)
d9096263	Sonic's Edusoft (Unknown) (Proto)
a908cff5	Space Gun (Europe)
ca1d3752	Space Harrier (Europe)
beddf80e	Space Harrier (Japan, USA)
6bd5c2bf	Space Harrier 3-D (USA, Europe)
156948f9	Space Harrier 3D (Japan)
fa8e4ca0	Special Criminal Investigation (Europe)
1b7d2a20	Special Criminal Investigation (Europe) (Beta)
a57cad18	Speedball (Europe) (Image Works)
5ccc1a65	Speedball (Europe) (Virgin)
0c7366a0	Speedball 2 (Europe)
4752cae7	SpellCaster (USA, Europe)
ebe45388	Spider-Man - Return of the Sinister Six (Europe)
908ff25c	Spider-Man vs. The Kingpin (USA, Europe)
e42e4998	Sports Pad Football (USA)
41c948bf	Sports Pad Soccer (Japan)
d41b9a08	Spy vs Spy (Japan)
689f58a2	Spy vs Spy (Taiwan)
78d7faab	Spy vs. Spy (USA, Europe)
d4b8f66d	Star Wars (Europe)
0f8287ec	Street Fighter II (Brazil)
83f0eede	Street Master (Korea) (Unl)
4ab3790f	Streets of Rage (Europe)
04e9c089	Streets of Rage II (Europe)
9802ed31	Strider (USA, Europe)
b990269a	Strider (Unknown) (Demo)
b8f0915a	Strider II (Europe)
d8f2f1b9	Submarine Attack (Europe)
01686d67	Suho Cheonsa (Korea) (Unl)
b13df647	Sukeban Deka II - Shoujo Tekkamen Densetsu (Japan)
